,count,year,author1,author2
0,6,2018,43/7940,215/5341
0,18,2020,43/7940,215/5341
0,18,2020,43/7940,35/10625
0,3,2022,33/8167,40/2499
0,11,2022,33/8167,304/9538
0,11,2022,33/8167,142/5239
0,11,2022,33/8167,316/1640
0,11,2022,33/8167,147/4317
0,11,2022,33/8167,34/2700
0,11,2022,33/8167,316/1664
0,11,2022,33/8167,316/1347
0,11,2022,33/8167,14/1570
0,11,2022,33/8167,73/2252
0,11,2022,33/8167,56/2415
0,6,2021,33/8167,258/4466
0,13,2022,33/8167,258/4466
0,4,2021,33/8167,65/7816
0,7,2022,33/8167,65/7816
0,4,2021,33/8167,00/7816
0,10,2022,33/8167,00/7816
0,3,2022,33/8167,312/7327
0,3,2022,33/8167,175/3324-48
0,2,2021,33/8167,53/6625
0,4,2022,33/8167,53/6625
0,2,2021,33/8167,46/2181
0,2,2021,33/8167,06/5852
0,5,2022,33/8167,06/5852
0,4,2004,11/2494,k/AlexChiChungKot
0,2,2005,11/2494,k/AlexChiChungKot
0,4,2006,11/2494,k/AlexChiChungKot
0,10,2007,11/2494,k/AlexChiChungKot
0,8,2008,11/2494,k/AlexChiChungKot
0,4,2009,11/2494,k/AlexChiChungKot
0,12,2010,11/2494,k/AlexChiChungKot
0,2,2011,11/2494,k/AlexChiChungKot
0,2,2012,11/2494,k/AlexChiChungKot
0,2,2015,11/2494,k/AlexChiChungKot
0,2,2016,11/2494,k/AlexChiChungKot
0,2,2017,11/2494,k/AlexChiChungKot
0,6,2018,11/2494,k/AlexChiChungKot
0,10,2019,11/2494,k/AlexChiChungKot
0,10,2020,11/2494,k/AlexChiChungKot
0,4,2021,11/2494,k/AlexChiChungKot
0,4,2020,11/2494,87/2834
0,4,2020,11/2494,47/2026-7
0,4,2019,11/2494,95/3736-36
0,10,2020,11/2494,95/3736-36
0,9,2021,11/2494,95/3736-36
0,2,2014,11/2494,72/51
0,4,2022,11/2494,245/0010
0,4,2022,11/2494,83/2884
0,4,2022,11/2494,d/JustinDauwels
0,7,2022,11/2494,325/4701
0,7,2022,11/2494,225/7475
0,7,2022,11/2494,130/9482-2
0,7,2022,11/2494,62/8429
0,7,2022,11/2494,325/4771
0,7,2022,11/2494,67/1771-1
0,2,2020,11/2494,07/7776
0,5,2022,11/2494,07/7776
0,5,2022,11/2494,309/9066
0,5,2022,11/2494,03/2134
0,5,2022,11/2494,23/5823
0,5,2019,11/2494,227/4507
0,3,2020,11/2494,227/4507
0,6,2022,11/2494,227/4507
0,2,2018,11/2494,230/1216
0,19,2019,11/2494,230/1216
0,17,2020,11/2494,230/1216
0,17,2021,11/2494,230/1216
0,14,2022,11/2494,230/1216
0,2,2023,11/2494,230/1216
0,2,2007,29/331,86/1498
0,4,2008,29/331,86/1498
0,6,2009,29/331,86/1498
0,6,2010,29/331,86/1498
0,9,2011,29/331,86/1498
0,7,2012,29/331,86/1498
0,6,2013,29/331,86/1498
0,6,2014,29/331,86/1498
0,13,2015,29/331,86/1498
0,18,2016,29/331,86/1498
0,16,2017,29/331,86/1498
0,31,2018,29/331,86/1498
0,33,2019,29/331,86/1498
0,18,2020,29/331,86/1498
0,7,2021,29/331,86/1498
0,8,2022,29/331,86/1498
0,3,2011,29/331,16/3956
0,3,2012,29/331,16/3956
0,13,2018,29/331,06/4578
0,8,2019,29/331,06/4578
0,2,2020,29/331,06/4578
0,2,2022,29/331,67/4562
0,3,2016,29/331,215/4346
0,16,2018,29/331,215/4346
0,19,2019,29/331,215/4346
0,8,2020,29/331,215/4346
0,7,2021,29/331,215/4346
0,4,2022,29/331,215/4346
0,16,2018,29/331,215/4265
0,16,2019,29/331,215/4265
0,11,2020,29/331,215/4265
0,9,2021,29/331,215/4265
0,6,2022,29/331,215/4265
0,4,2019,29/331,254/0864
0,11,2020,29/331,254/0864
0,3,2021,29/331,254/0864
0,4,2022,29/331,254/0864
0,12,2019,29/331,35/573-6
0,20,2020,29/331,35/573-6
0,7,2021,29/331,35/573-6
0,6,2022,29/331,35/573-6
0,4,2021,29/331,85/6463
0,4,2022,29/331,85/6463
0,6,2017,29/331,28/2073
0,4,2021,29/331,28/2073
0,10,2022,29/331,28/2073
0,4,2021,29/331,302/0900
0,4,2022,29/331,302/0900
0,6,2022,29/331,27/870
0,5,2021,29/331,290/6171
0,5,2021,29/331,09/9427-1
0,5,2021,29/331,79/7823
0,5,2021,29/331,199/8865
0,3,2016,29/331,154/9692
0,6,2017,29/331,154/9692
0,9,2018,29/331,154/9692
0,18,2019,29/331,154/9692
0,12,2020,29/331,154/9692
0,6,2021,29/331,154/9692
0,3,2015,29/331,164/8455
0,6,2021,29/331,164/8455
0,4,2019,29/331,15/10073
0,3,2021,29/331,15/10073
0,2,2022,29/331,31/1301
0,2,2020,29/331,258/5802
0,2,2004,29/331,t/AnthonyKHTung
0,2,2016,29/331,62/6555
0,8,2017,29/331,62/6555
0,9,2018,29/331,62/6555
0,6,2019,29/331,176/0245
0,1,2021,29/331,53/2189
0,7,2000,h/WynneHsu,l/MongLiLee
0,6,2001,h/WynneHsu,l/MongLiLee
0,15,2002,h/WynneHsu,l/MongLiLee
0,16,2003,h/WynneHsu,l/MongLiLee
0,33,2004,h/WynneHsu,l/MongLiLee
0,24,2005,h/WynneHsu,l/MongLiLee
0,23,2006,h/WynneHsu,l/MongLiLee
0,14,2007,h/WynneHsu,l/MongLiLee
0,11,2008,h/WynneHsu,l/MongLiLee
0,16,2009,h/WynneHsu,l/MongLiLee
0,6,2010,h/WynneHsu,l/MongLiLee
0,10,2011,h/WynneHsu,l/MongLiLee
0,12,2012,h/WynneHsu,l/MongLiLee
0,23,2013,h/WynneHsu,l/MongLiLee
0,8,2014,h/WynneHsu,l/MongLiLee
0,12,2015,h/WynneHsu,l/MongLiLee
0,9,2016,h/WynneHsu,l/MongLiLee
0,14,2017,h/WynneHsu,l/MongLiLee
0,18,2018,h/WynneHsu,l/MongLiLee
0,16,2019,h/WynneHsu,l/MongLiLee
0,28,2020,h/WynneHsu,l/MongLiLee
0,47,2021,h/WynneHsu,l/MongLiLee
0,17,2022,h/WynneHsu,l/MongLiLee
0,2,1998,h/WynneHsu,o/BengChinOoi
0,3,2002,h/WynneHsu,o/BengChinOoi
0,3,2004,h/WynneHsu,o/BengChinOoi
0,3,2006,h/WynneHsu,o/BengChinOoi
0,5,2013,h/WynneHsu,o/BengChinOoi
0,8,2021,h/WynneHsu,11/4605
0,8,2022,h/WynneHsu,11/4605
0,8,2021,h/WynneHsu,39/10551
0,8,2022,h/WynneHsu,39/10551
0,8,2021,h/WynneHsu,178/9973
0,8,2022,h/WynneHsu,178/9973
0,15,2021,h/WynneHsu,35/9856
0,8,2022,h/WynneHsu,35/9856
0,8,2021,h/WynneHsu,31/7025
0,8,2022,h/WynneHsu,31/7025
0,8,2021,h/WynneHsu,225/2875
0,8,2022,h/WynneHsu,225/2875
0,8,2021,h/WynneHsu,86/4643-3
0,8,2022,h/WynneHsu,86/4643-3
0,3,2020,h/WynneHsu,202/5448
0,10,2022,h/WynneHsu,202/5448
0,6,2021,h/WynneHsu,267/8378
0,10,2022,h/WynneHsu,267/8378
0,6,2021,h/WynneHsu,257/9440
0,10,2022,h/WynneHsu,257/9440
0,3,2020,h/WynneHsu,266/3614
0,4,2022,h/WynneHsu,266/3614
0,4,2022,h/WynneHsu,194/8228
0,3,2022,h/WynneHsu,254/9157
0,3,2022,h/WynneHsu,322/0749
0,3,2022,h/WynneHsu,307/3295
0,6,2021,h/WynneHsu,296/6174
0,6,2021,h/WynneHsu,296/6185
0,4,2021,h/WynneHsu,300/9472
0,3,2020,h/WynneHsu,281/9449
0,4,2021,h/WynneHsu,281/9449
0,3,2000,h/WynneHsu,l/TokWangLing
0,5,2013,h/WynneHsu,l/TokWangLing
0,3,2016,h/WynneHsu,193/4096
0,6,2018,h/WynneHsu,193/4096
0,12,2020,h/WynneHsu,193/4096
0,9,2021,h/WynneHsu,193/4096
0,7,2021,h/WynneHsu,309/4426
0,7,2021,h/WynneHsu,309/4279
0,7,2021,h/WynneHsu,48/5564
0,7,2021,h/WynneHsu,223/4047
0,6,2018,h/WynneHsu,140/0186
0,9,2019,h/WynneHsu,140/0186
0,3,2021,h/WynneHsu,140/0186
0,3,2019,h/WynneHsu,183/1425
0,12,2021,h/WynneHsu,183/1425
0,3,2020,h/WynneHsu,281/9543
0,3,2021,h/WynneHsu,281/9543
0,3,2021,h/WynneHsu,185/6507
0,3,2008,h/WynneHsu,t/AnthonyKHTung
0,5,2013,h/WynneHsu,t/AnthonyKHTung
0,2,1999,l/MongLiLee,o/BengChinOoi
0,2,2000,l/MongLiLee,o/BengChinOoi
0,4,2001,l/MongLiLee,o/BengChinOoi
0,3,2002,l/MongLiLee,o/BengChinOoi
0,3,2004,l/MongLiLee,o/BengChinOoi
0,3,2006,l/MongLiLee,o/BengChinOoi
0,5,2013,l/MongLiLee,o/BengChinOoi
0,4,2014,l/MongLiLee,b/SSBhowmick
0,7,2021,l/MongLiLee,35/9856
0,3,2020,l/MongLiLee,202/5448
0,10,2022,l/MongLiLee,202/5448
0,6,2021,l/MongLiLee,267/8378
0,10,2022,l/MongLiLee,267/8378
0,6,2021,l/MongLiLee,257/9440
0,10,2022,l/MongLiLee,257/9440
0,3,2020,l/MongLiLee,266/3614
